!	.
"	"
,	,
-	-
.	.
..	...
...	...
.azzal	Британдықтар
.ha	өтетін
.tíz	...он
.és	саясатын
10	билет
16-án	жұмды
1979-ben	1979 ж
1STA	-1STA
1sta	-1sta
2003.	айдалуда
250	250
300.000	000
40.000	0
48	сағаттан
60-as	ж.ж
80%-a	пайызы
90	90
90%-kal	хламидиозды
:	:
?	?
A	Менің
ALAPUL	ЖІГЕРЛЕНДІРІЛГЕН
Acholi	руларының
Addig	тамақ
Adjon	Адамға
Adok	Алтын
Adtam	Кілтті
African	КАР
Afrika	Африка
Afrikában	Африкада
Aggódtam	Рұқсатсыз
Aha	Иә
Ahogy	Өзімде
Air	Полестиналықтар
Akarja	Неге
Akkor	Жұмыс
Alapítványt	аШтым
Aláírt	керегі
Aláírtad	Қол
Amikor	Ақыры
Amin	Амин
Aminnak	қызмет
Aminról	айт
Amint	сол
Amíg	күтпеген
Amúgy	Бәрібір
Angela	Анжелла
Annyi	Әне
Annyira	КеШірім
Anyu	Апа
Anyucinak	Анаңды
Apu	Әке
Apám	Әкем
Apára	Әкесі
Arany	алтын
Argentina	Аргентина
Arra	Иісін
Arrafele	Жақсы
Arábiában	Сауды
Asimov	:
Asszonyom	Ханым
Attól	сен
Az	Бұл
Azok	Олар
Azonnal	Кәзір
Azt	Мен
Aztán	Рахмет
Azért	Аяқ
Azóta	бірақ
BOU	Бо
Babucim	Аха
Badarság	Далбаса
Barátaim	Достар
Bassza	Сайтан
Be	сені
Becsaptalak	түсіндім
Belülről	қайтару
Belőle	Оның
Bement	қалаға
Bennünket	көрінген
Beszélhetnék	Сенімен
Beszélj	істейді
Beszéljen	Айта
Beszéljünk	БірнеШе
Beszélnünk	Сөйлесуіміз
Beszéltem	Исакпен
Beszívja	Ауа
Biztos	ЕШтеме
Biztosan	Жай
Biztosítani	сіздерге
Bocs	КеШіріңіз
Bocsánat	Кешір
Bocsánatot	сұрауға
Bocsásson	КеШіріңіз
Bonny	Бонни
Borzasztó	шақырылмаған
Bou	-Апа
Bou-t	қайтарамын
Bou...	?
Brit	Құтқару
Bruner	Брунер
Bántott	ренжітпеді
Bár	Есте
Bármikor	бұрынғы
Bármit	Сұрай
Bökd	Нені
Búcsúzni	Сізбен
Bőkezű	сыйлаңыз
Bűvölje	Олардың
Campbell	Кэмпбел
Chi...	Есімің
Chihiro	Тихиро
Chihiro-t	Тихироның
Chris	Крис
Chrisnek	Крис
Christ	келдім
Csak	-
Csendesebben	арналған
Csendet	Ауыз
Csillagos	5+
Csináljatok	қане
Csináljon	Ана
Csöndet	Кәне
Cél	Баратын
David	Дэвидтің
Davidet	Дэвид
Davidnek	жұма
De	Бірақ
Dehogy	Тағы
Disznóvá	шошқаға
Doktor	Доктор
Doktor.	келдіңіз
Dolgozhatnék	істеуге
Dolgozni	жұмысқа
Dr	Доктор
Druszák	бірдей
Drága	!
Drágám	естисің
Dörzsöld	Бар
EGYETEM	Университеті
ELTŰNÉSE	ЕРТКЕН
ESEMÉNYEKEN	АДАМДАР
Ebédszünet	Үзіліс
Edd	Жесең
Eddig	уақытқа
Egy	Бір
Egyes	Кей
Egykor	Бұрын
Egyre	Елден
Egyszer	Ол
